name,genre,summary
Animals Collision,Indie,Animals Collision is a party game Play as humanoid animal and fight for your victory solo or online up to 4 players There is no space for other animals on the arena
Antigas Constelações: Sobre a Vila Itororó,Simulator Indie,Marginalized heritage as blazing celestial bodies  a VR experience
Alia's Carnival! W-Package,Sport Adventure Indie,Alias Carnival WPackage is an Adventure game developed and published by NanaWind which was released in Japan in 2016
Anagraphs: An Anagram Game With a Twist,Puzzle Strategy Indie,Anagrams with a twist From the creator of the popular word game Synonymy an addicting new word game where the anagram possibilities are greater than ever before
Anno 1800: The High Life,Simulator Strategy,The 3rd DLC of the Anno 1800 Season 3 Pass  Take your city to grand new heights with modular skyscrapers shopping arcades and the epic Skyline Tower monument
Anyway,Adventure Indie,Anyway is a 2D platformer adventure in which every day is not the same There are some secret rules to this place which can change from day to day So be cautious it may be dangerous out there
AirShock,Strategy Indie,AirShock is from a combat helicopter pilot to the US Army General Take part in the Middle East War on International Terrorism
Angry Squirrel,Simulator Adventure Indie,Angry Squirrel  is the simplest platformer with surviving elements where you have to do the levels playing as a squirrel
Assassin's Creed III: Benedict Arnold,Adventure,Benedict Arnold is a singleplayer downloadable content addition for Assassins Creed III It was originally available exclusively for PlayStation 3 and PC
Ascent,Adventure Indie,Crashed on a desolate but mysterious planet you find yourself eye to eye with an ancient civilisation Explore the planet find powerful upgrades and uncover its secrets
Anguished,Role-playing (RPG) Indie,Run from the darkness as you confront yourself with the demons that hunt you in a retro rpg style
Atrius Star,Indie,Bullet hell roguelite with challenging AI fun weapons monster infighting and speed running
Another Side,Adventure Indie,You are Sara an 11yearold girl who finds herself in a mysterious place its up to you to find out what happened how did you end up there and unravel the mysteries that you find on your way
All of Touhou Mystia's Izakaya,Role-playing (RPG) Simulator Indie,This bundle includes all the works related to the Touhou Mystias Izakaya series
Angela's Odyssey,Adventure Indie,A surreal pointandclick adventure
Aliens in the Yard,Simulator Indie,The aliens have decided to steal the Earths most precious artifacts your backyard junk Defend your backyard with fireworks
Asura Valley,Role-playing (RPG) Strategy Adventure Indie,In this gameYou must do everything you can to defeat the king and become the new king  Then click on new game  to challenge your own kingdom
Alien Food Frenzy,Indie,Protect yourself and the world against fierce food animated by aliens to enslave human kind Built exclusively for roomscale VR with the HTC Vive
Argonauts Agency: Golden Fleece,Simulator Strategy,Argonauts Agency go on an adventure and solve the case of the missing Golden Fleece
Animal Inspector,Indie Visual Novel,The world is overpopulated by pets and it is now your job to judge which of those should be kept and which should be rejected
Anno 1800: Complete Edition Year 3,Simulator Strategy,Improve your experience in Anno 1800 with the Complete Edition Year 3 including all Season Pass and the deluxe pack
Asteroid Navigation,Indie,Asteroid Navigation is a 2d arcade style game made with 3d assets The goal is to reach Axios station and to achieve the high score
American Truck Simulator: Idaho,Simulator Indie,Welcome to Idaho a land of rugged beauty that is home to millions of acres of wilderness and a landscape that ranges from desert to fertile farms
Atari Revival,Strategy Arcade,Atari Revival is a compilation with three remakes of Atari games from the late seventies and early eighties   Warlords  Combat  Missile Command
Animal war,Adventure Indie,Its a firstperson shooter gamePlayers are surrounded by mutant animalsPlayers are free to explore their surroundings and kill monstersPlayers must avoid monster attacks and survive
Are you yet Living?,Shooter,Medium sized somewhat nonlinear map using Knave textures
Asteroids Extreme,Simulator Adventure Indie,Asteroids Extreme is a fastpaced topdown arcadestyle asteroid mining adventure Players blast asteroids and various enemies collecting crystals along the way to upgrade their ship
Ancient Rome 2,Simulator Strategy,Construct entire residential districts for people and improve their wellbeing by building markets schools theaters and other places and connect them with roads for ease of access
An American Werewolf in LA,Fighting Hack and slash Indie Arcade,You are a werewolf But there are monsters worse than you in Hells Creek
Among the Heavens,Puzzle Simulator,Up in the sky in a fantasy world two friends Cid and Markus decided to bring an old tavern back to life in Among the Heavens
Arcane Domains,Adventure Indie,Take a quick journey across the Arcane Domains fight lizardmen rescue wizards and collect treasure as you cast spells and summon monsters across 22 stages in this 3d Beatemup
Artizens,Role-playing (RPG) Indie,Create the most customizable character ever and take on ferocious monsters with your friends online
Awesome Machine,Simulator Indie,Engineer your way through awesome levels   Use technology trampolines and many other tools  Discover what it takes to be a scientist and build the Awesome Machine
Blackout Hospital,Role-playing (RPG) Adventure Indie,When the power goes out while working night shift in the hospital the emergency lights come on with an eerie glow
Axis & Allies,Real Time Strategy (RTS) Strategy,A WWII realtimestrategy game based on the popular board game and Timegate Studios previous game series Kokan
Ball 2D,Simulator Sport Indie,Ball 2D is all about reflex and strategy Are you good enough to master the game
Blue Star Mobile Team,Adventure Indie,After the Blue Star mobile team has assembled control the mecha to fight and defeat the dangerous creatures in the universe
Backgammon 3D,Card & Board Game,Backgammon 3D is a translation of the board game The object of the game is to move all checkers off the board The first player to do so wins
Baking Bustle,Simulator,Bake up a storm on an epic cooking adventure that spans the world of food
Blue Beard,Adventure,This is a classic animation film handmade in the best traditions of the classic cartoons
Blood Orange,Adventure,Searching the Amazon for the elusive razorback dolphin Nora discovers more than she bargained for  Created in one month for Thalassophobia game jam
Beatoraja,Music,Codename beatoraja is a Crossplatform rhythm game based on Java and libGDX It works on Windows Mac OS and Linux
Black Snow,Shooter,Welcome to Amaluuk research station we hope your stay is a productive and pleasant one
Biniax,Puzzle,Biniax is a free and opensource puzzle video game which was first released in 2005
Blobek,Indie,Speed ACTION Excellent soundtrack Fast JUMP Disaster RAMPAGE ENERGY
Bet on Man,Simulator Strategy Indie,Bet on one of the men and hope to be the winner or Choose one of the men give him the attributes correctly and make him the winner
Blockee,Puzzle Indie,Blockee is a simple slidepuzzle game Just slide the blocks
Bitcoin Trader,Simulator Indie,In this game you have a fascinating journey into the world of cryptocurrencies Make exchanges on the stock exchange do airdrops and of course extract the cryptocurrency from mining
Ball Out,Platform,Link 7 in the Haunted PS1 CHAIN provides souls in balls for the player to rebirth The research log indicates that the physical properties of the disc may not be completely inert
Axe Prime,Adventure,Axe Prime is a medieval  fantasy fighting game There are 6 levels each level gets progressively harder
